name,lng,lat
Harju-Risti Harju,23.967102363393366,59.20068950293327
Harku Harju,24.596784628308846,59.38091239606666
Harkujärve Harju,24.58414362877003,59.4156886692948
Heimtali Viljandi,25.49528885977544,58.3023036262869
Hellamaa Saare,23.33038444607475,58.60117636765748
Hellenurme Valga,26.380533306554494,58.141860646971494
Helme Valga,25.88378958667761,57.996029853477836
Himmaste Põlva,27.10947626725711,58.10572279737776
Hirvli Harju,25.556975448350173,59.43255517780003
Holdre - Koorküla Valga,25.768014228260018,57.940271291757156
Holstre Viljandi,25.71469758226272,58.28739285926526
Holvandi Põlva,27.18205276410983,58.06762191163609
Hulja Lääne-Viru,26.208756661757548,59.34866700659355
Hummuli Valga,26.017223684771913,57.887489551570404
Härgla Rapla,24.88031369801187,59.11655363546971
Häädemeeste Pärnu,24.54327857964517,58.11330198008605
Hüüru Harju,24.514918864207484,59.37687671666271
Ignase Tartu,26.886662230018448,58.24759220573387
Ihamaru Põlva,26.89987990916306,58.05828695794388
Iide Saare,22.09968248876593,57.98552875266681
Iisaku Ida-Viru,27.321766308541903,59.1102495457984
Illuka Ida-Viru,27.52250747187407,59.21724589874155
Ilmatsalu Tartu,26.572113364036202,58.391466947530255
Imatu Ida-Viru,27.526415311397624,59.0969336366796
Imavere Järva,25.754731361126495,58.73802003593683
Ingliste Rapla,24.941689392794537,58.99676949382346
Irta Pärnu,24.10559954564967,58.539859206353626
Jaama Jõgeva,26.81450033696931,58.787757476196994
Jaanimõisa Põlva,27.258027256725683,58.14176429310978
Jalase-Koikse Rapla,24.61301107191283,58.965245542163316
Jalgsema Järva,25.877793885612018,59.08870584495599
Jalukse Lääne,23.87198711085854,59.067389420844385
Jausa Hiiu,22.665818084701108,58.77659731260746
Jeti Valga,25.887672643087974,57.89552008317342
Joaveski Harju,25.79805114194779,59.50908429645767
Juminda Harju,25.582998847651123,59.57344179087586
Juuru Rapla,24.98289493797217,59.07332165461229
Jämejala Viljandi,25.578734149332316,58.386566864993476
Jäneda Lääne-Viru,25.6806817030159,59.247569624342795
Järlepa Rapla,24.943429893422056,59.12653514431315
Järva-Jaani Järva,25.864250269507448,59.034365893671605
Järva-Jaani alev,25.88732196563911,59.04059589060138
Järvakandi Rapla,24.793131327822685,58.78089980073212
Järvakandi alev,24.811039884834024,58.778435609732284
Järve Ida-Viru,27.326645639241164,59.41631019205176
Järvselja Tartu,27.3236531198397,58.263906413194285
Jäärja Pärnu,24.979541439509692,58.04750799537476
Jõelähtme Harju,25.171669748550904,59.448638081805214
Jõesuu Pärnu,24.971030563759296,58.49025165389197
Jõgeva linn,26.393834754928367,58.74406455324698
Jõgeva ümbrus Jõgeva,26.412478913069165,58.76516746038727
Jõgeveste Valga,25.99076794088593,57.998607520259135
Jõhvi linn,27.421005848908653,59.35835495264797
Jõuga Ida-Viru,27.362826409406416,59.15500731618816
Jõõpre Pärnu,24.3440766222778,58.47505099061804
Jüri Harju,24.929838891291936,59.34409187932615
Kaagjärve Valga,26.177652026633464,57.77327279310794
Kaagvere Tartu,26.898542485887095,58.34691680745084
Kaalepi Järva,25.645679099359423,59.078616662764276
Kaansoo Pärnu,25.158977995394807,58.57053770376779
Kaarepere Jõgeva,26.509804233007443,58.627788651352446
Kaarma Saare,22.53338113289361,58.35021585614426
Kaatermu Ida-Viru,27.615296230201267,59.17245153020487
Kabala Järva,25.633035487669176,58.68951634572583
Kabala Rapla,24.624316966226345,58.9178560310646
Kaberneeme Harju,25.26764194201636,59.50369065402007
Kabli Pärnu,24.49484750585828,58.00559496254935
Kadila Lääne-Viru,26.35081663058953,59.2184276687104
Kadjaste Pärnu,25.183593541806246,58.68437490462383
Kadrina Lääne-Viru,26.139386108809543,59.34578079338621
Kahala Harju,25.54726317521778,59.48411805053091
Kahkva Põlva,27.461504041706675,57.931129818021
Kahula Ida-Viru,27.320474873744185,59.33699430440544
Kaika Võru,26.531044888029676,57.73253095648867
Kaisma Pärnu,24.764915051490306,58.674759876602984
Kaiu Rapla,25.091251647418247,58.981539059313945
Kajamaa Harju,24.724027076179215,59.272824411245665
Kalana Jõgeva,26.0530738855538,58.729479131161035
Kallaste linn,27.155076960258548,58.662360059879965
Kallaste ümbrus Tartu,27.129291444260943,58.65749968238915
Kallavere Harju,25.046246942329663,59.48876129520158
Kalma-Vilusi Ida-Viru,26.970048119462852,58.906508414921035
Kalvi Ida-Viru,26.787833173213322,59.480378612668275
Kamari Jõgeva,25.998932880368457,58.59274934657695
Kambja Tartu,26.703365312827934,58.22147604914996
Kanaküla Pärnu,25.127705671368407,58.26292432634093
Kanama-Tänassilma Harju,24.602621876245713,59.30911273206687
Kanepi Põlva,26.750850122714606,57.98364741502796
Karala Saare,21.900967197663142,58.28937375640622
Kareda Järva,25.752803448933918,58.944594259908854
Karepa Lääne-Viru,26.330904077292438,59.53888188782996
Karilatsi Põlva,26.899211128516715,58.112535647532525
