start_lon,end_lon,start_lat,end_lat,start,end
24.556630728073788,24.764737777605827,59.319991436662576,59.429887212165966,Saue linn,Kesklinna linnaosa
24.556630728073788,24.676419212080784,59.319991436662576,59.4031827239763,Saue linn,Mustamäe linnaosa
24.556630728073788,24.602621876245713,59.319991436662576,59.30911273206687,Saue linn,Kanama-Tänassilma Harju
26.532059252487468,26.63331966859524,57.6440984429114,57.599482335388544,Saru Võru,Mõniste Võru
26.532059252487468,26.532059252487468,57.6440984429114,57.6440984429114,Saru Võru,Saru Võru
26.532059252487468,26.555050969311942,57.6440984429114,57.55895799256615,Saru Võru,Kuutsi Võru
26.532059252487468,26.691814072305505,57.6440984429114,57.678239331777,Saru Võru,Varstu Võru
26.532059252487468,26.404320153762416,57.6440984429114,57.60712387043431,Saru Võru,Hargla Valga
25.702953592753147,25.702953592753147,58.88665962502294,58.88665962502294,Sargvere Järva,Sargvere Järva
25.702953592753147,25.556374598432086,58.88665962502294,58.884989244248985,Sargvere Järva,Paide linn
25.702953592753147,25.725763034244647,58.88665962502294,58.83074457196081,Sargvere Järva,Koigi Järva
25.702953592753147,25.550033680787013,58.88665962502294,58.96629026009647,Sargvere Järva,Tarbja Järva
25.702953592753147,25.80454457337652,58.88665962502294,58.89310050208116,Sargvere Järva,Väike-Kareda Järva
26.198236718799148,26.198236718799148,58.348796343137636,58.348796343137636,Sangla Tartu,Sangla Tartu
26.198236718799148,26.199845224136144,58.348796343137636,58.246259402740606,Sangla Tartu,Rannu Tartu
26.198236718799148,26.72850527915207,58.348796343137636,58.370075672253435,Sangla Tartu,Tartu linn
26.198236718799148,26.289343166747653,58.348796343137636,58.27680069417966,Sangla Tartu,Annikoru Tartu
26.198236718799148,26.419587144031315,58.348796343137636,58.226836374085025,Sangla Tartu,Elva linn
26.340903226807004,26.340903226807004,57.92111717393059,57.92111717393059,Sangaste Valga,Sangaste Valga
26.340903226807004,26.313229059713432,57.92111717393059,57.96197549123689,Sangaste Valga,Keeni Valga
26.340903226807004,26.269674468304654,57.92111717393059,57.844030467127745,Sangaste Valga,Laatre Valga
26.340903226807004,26.070770430317978,57.92111717393059,57.77847672570749,Sangaste Valga,Valga linn
26.340903226807004,26.72850527915207,57.92111717393059,58.370075672253435,Sangaste Valga,Tartu linn
22.807518318945753,22.702743993644017,58.30382189131828,58.30468471687061,Sandla Saare,Pihtla Saare
22.807518318945753,22.49008680040241,58.30382189131828,58.24875649289655,Sandla Saare,Kuressaare linn
22.807518318945753,22.807518318945753,58.30382189131828,58.30382189131828,Sandla Saare,Sandla Saare
22.807518318945753,22.89106046701893,58.30382189131828,58.34709213616569,Sandla Saare,Sakla Saare
22.807518318945753,22.456994533153896,58.30382189131828,58.268507631025614,Sandla Saare,Laheküla Saare
24.852749779218986,24.754648903189402,59.1881861669059,59.17011299357566,Salutaguse Rapla,Kohila alev
24.852749779218986,24.75335660515399,59.1881861669059,59.15906288787001,Salutaguse Rapla,Kohila Rapla
24.852749779218986,24.852749779218986,59.1881861669059,59.1881861669059,Salutaguse Rapla,Salutaguse Rapla
24.852749779218986,24.764737777605827,59.1881861669059,59.429887212165966,Salutaguse Rapla,Kesklinna linnaosa
24.852749779218986,24.711208697188056,59.1881861669059,59.415103033062955,Salutaguse Rapla,Kristiine linnaosa
22.238536594754354,22.238536594754354,58.18070538228574,58.18070538228574,Salme Saare,Salme Saare
22.238536594754354,22.49008680040241,58.18070538228574,58.24875649289655,Salme Saare,Kuressaare linn
22.238536594754354,22.160614430996556,58.18070538228574,58.18927177656268,Salme Saare,Tiirimetsa Saare
22.238536594754354,22.36058226423624,58.18070538228574,58.22512897511237,Salme Saare,Nasva-Keskranna Saare
22.238536594754354,22.213382703081,58.18070538228574,58.086884167106234,Salme Saare,Anseküla Saare
26.36130837891338,26.36130837891338,58.941344455774065,58.941344455774065,Salla Lääne-Viru,Salla Lääne-Viru
26.36130837891338,26.212709325188424,58.941344455774065,58.99695991089556,Salla Lääne-Viru,Rakke Lääne-Viru
26.36130837891338,26.464630003766732,58.941344455774065,58.98451723119885,Salla Lääne-Viru,Käru Lääne-Viru
26.36130837891338,26.0495562657036,58.941344455774065,58.978969792648286,Salla Lääne-Viru,Koeru Järva
26.36130837891338,26.284355998799803,58.941344455774065,58.84749846073743,Salla Lääne-Viru,Vaimastvere Jõgeva
24.649154640033657,24.649154640033657,59.286982563973375,59.286982563973375,Saku Harju,Saku Harju
24.649154640033657,24.764737777605827,59.286982563973375,59.429887212165966,Saku Harju,Kesklinna linnaosa
24.649154640033657,24.711208697188056,59.286982563973375,59.415103033062955,Saku Harju,Kristiine linnaosa
24.649154640033657,24.676419212080784,59.286982563973375,59.4031827239763,Saku Harju,Mustamäe linnaosa
24.649154640033657,24.851802926400804,59.286982563973375,59.43387964278103,Saku Harju,Lasnamäe linnaosa
26.05696353481673,25.94740822316147,59.242054881569835,59.25321442613382,Saksi Lääne-Viru,Tapa linn
26.05696353481673,26.05696353481673,59.242054881569835,59.242054881569835,Saksi Lääne-Viru,Saksi Lääne-Viru
26.05696353481673,25.992144397717492,59.242054881569835,59.2151415540394,Saksi Lääne-Viru,Karkuse Lääne-Viru
26.05696353481673,26.126541323035337,59.242054881569835,59.29344328063758,Saksi Lääne-Viru,Neeruti Lääne-Viru
26.05696353481673,26.36288651637517,59.242054881569835,59.34530231407201,Saksi Lääne-Viru,Rakvere linn
22.89106046701893,22.89106046701893,58.34709213616569,58.34709213616569,Sakla Saare,Sakla Saare
22.89106046701893,22.49008680040241,58.34709213616569,58.24875649289655,Sakla Saare,Kuressaare linn
22.89106046701893,22.78431928456706,58.34709213616569,58.41885614032531,Sakla Saare,Valjala Saare
22.89106046701893,22.897162348808372,58.34709213616569,58.42929580141799,Sakla Saare,Tõnija Saare
22.89106046701893,22.703041473023536,58.34709213616569,58.36210904743571,Sakla Saare,Kõljala Saare
27.24664633157524,27.31590288134762,59.42903171238929,59.367152757413365,Saka Ida-Viru,Kohtla-Järve linn
27.24664633157524,27.24664633157524,59.42903171238929,59.42903171238929,Saka Ida-Viru,Saka Ida-Viru
27.24664633157524,27.421005848908653,59.42903171238929,59.35835495264797,Saka Ida-Viru,Jõhvi linn
27.24664633157524,27.19314198540193,59.42903171238929,59.35696230286169,Saka Ida-Viru,Kohtla-Nõmme alev
27.24664633157524,27.213223594033327,59.42903171238929,59.344301566651126,Saka Ida-Viru,Kohtla Ida-Viru
22.99337634119159,23.09917798213066,58.54469912144733,58.550060841869865,Saikla Saare,Orissaare Saare
22.99337634119159,22.99337634119159,58.54469912144733,58.54469912144733,Saikla Saare,Saikla Saare
22.99337634119159,23.00053200358332,58.54469912144733,58.50691463616849,Saikla Saare,Pöide Saare
22.99337634119159,23.212844008105485,58.54469912144733,58.60011603358731,Saikla Saare,Liiva Saare
22.99337634119159,23.02071287742828,58.54469912144733,58.56852652968661,Saikla Saare,Maasi Saare
26.07321192236023,26.19131235386107,59.54582113231777,59.54467357692026,Sagadi Lääne-Viru,Vihula Lääne-Viru
26.07321192236023,26.07321192236023,59.54582113231777,59.54582113231777,Sagadi Lääne-Viru,Sagadi Lääne-Viru
26.07321192236023,26.36288651637517,59.54582113231777,59.34530231407201,Sagadi Lääne-Viru,Rakvere linn
26.07321192236023,26.144058548159784,59.54582113231777,59.501317314876296,Sagadi Lääne-Viru,Annikvere Lääne-Viru
26.07321192236023,25.955744544962673,59.54582113231777,59.5726590897423,Sagadi Lääne-Viru,Võsu Lääne-Viru
26.30864459067658,26.30864459067658,58.6735653862882,58.6735653862882,Saduküla Jõgeva,Saduküla Jõgeva
26.30864459067658,26.340057804514494,58.6735653862882,58.737497074250456,Saduküla Jõgeva,Siimusti Jõgeva
26.30864459067658,26.26563755516735,58.6735653862882,58.566527951742685,Saduküla Jõgeva,Puurmani Jõgeva
26.30864459067658,26.393834754928367,58.6735653862882,58.74406455324698,Saduküla Jõgeva,Jõgeva linn
26.30864459067658,26.412478913069165,58.6735653862882,58.76516746038727,Saduküla Jõgeva,Jõgeva ümbrus Jõgeva
